dataset,missingness,method,MinMAE,AvgMAE,PercentBias,CoverageRate,W_train,W_test,MeanVariance,MeanMAD,MedianMAD,R2_imp,F1_imp,time,R2_lin,F1_lin,R2_linboost,F1_linboost,R2_tree,F1_tree,R2_treeboost,F1_treeboost
qsar_biodegradation,MCAR(0.2),KNN(n_neighbors=1),0.03182994722,0.03182994722,0,0,0.2622067578,1.408999791,1.07E-34,4.67E-17,0,0,0.8465633538,9.95E-02,0,0.8569943104,0,0.8232616339,0,0.8554384306,0,0.8505590402
qsar_biodegradation,MCAR(0.2),MissForest,0.01794883925,0.02059195037,0,0,0.1697437188,1.396148459,1.17E-04,1.59E-02,0.01432619702,0,0.8499824044,320.3665237,0,0.845377542,0,0.8351794956,0,0.8598319391,0,0.859540641
qsar_biodegradation,MCAR(0.2),miceforest,0.01326508127,0.02184180158,0,0,0.1800617606,1.396038216,9.18E-04,5.52E-02,0.04639279895,0,0.8526716829,209.036609,0,0.8523613695,0,0.8407404123,0,0.8605720786,0,0.8570128712
qsar_biodegradation,MCAR(0.2),ice,0.03629732764,0.06338623267,0,0,0.5218031815,1.612791249,0.008018163324,0.2550872932,0.2213984888,0,0.8488528533,21.25204945,0,0.8497598128,0,0.8359192599,0,0.857057582,0,0.8526747585
qsar_biodegradation,MCAR(0.2),OT,0.06315449243,0.07475865469,0,0,0.6161885814,1.648433334,0.001218647705,0.07791062393,0.06707822326,0,0.8430100999,262.85937,0,0.8279074837,0,0.8243836318,0,0.8608808409,0,0.858868443
qsar_biodegradation,MCAR(0.2),softimpute,0.06001559957,0.06001559957,0,0,0.494784714,1.583516958,9.33E-35,4.68E-17,0,0,0.8362557856,49.80279533,0,0.8442829469,0,0.8123549394,0,0.8459804871,0,0.8424047691
qsar_biodegradation,MCAR(0.2),GAIN,0.0433905315,0.04420421642,0,0,0.364082721,1.470272153,7.82E-05,0.004552062572,0.00408546488,0,0.848913455,18.98753436,0,0.8391379524,0,0.8335065194,0,0.8619338419,0,0.8610755063
seeds,MCAR(0.2),oracle,0,0,0,0,0,0.4597781875,4.22E-34,1.18E-16,0,0,0.8711821463,5.25E-06,0,0.936659665,0,0.6485722286,0,0.9634046442,0,0.9360920476
seeds,MCAR(0.2),KNN(n_neighbors=1),0.08315561028,0.08315561028,0,0,0.1087046374,0.4637309475,5.35E-34,1.24E-16,0,0,8.54E-01,0.003782510757,0,0.9285410205,0,0.631950729,0,0.9346457771,0,0.9199612648
seeds,MCAR(0.2),MissForest,0.04506953933,0.05359498604,0,0,0.07094477838,0.4524566384,1.24E-04,3.53E-02,0.03216755478,0,0.8552212376,2.65E+01,0,0.9414283999,0,0.5702483987,0,0.955458836,0,0.9537493158
seeds,MCAR(0.2),miceforest,0.03521914645,0.05974640152,0,0,0.07898612885,0.4560089144,1.25E-03,1.21E-01,0.110216695,0,0.8660465985,1.91E+01,0,0.9456931716,0,0.6145646335,0,0.958259151,0,0.9456694377
seeds,MCAR(0.2),ice,0.07411562126,0.1761601789,0,0,0.2309334611,0.5664604638,3.66E-02,7.39E-01,0.6817964291,0,0.9117481659,0.9293239911,0,0.9487989558,0,0.8259263011,0,0.9310231703,0,0.9412442361
seeds,MCAR(0.2),OT,0.05446436384,0.081649129,0,0,0.1075336701,0.4644914646,1.78E-03,1.20E-01,0.109321056,0,0.8566117129,323.355269,0,0.936487758,0,0.6078288127,0,0.9459183161,0,0.9362119646
seeds,MCAR(0.2),softimpute,0.1129703883,0.1129703883,0,0,0.1495543302,0.5099662074,5.65E-34,1.24E-16,0,0,0.8550711836,1.794123411,0,0.96046108,0,0.5802199132,0,0.9427417481,0,0.9368619932
seeds,MCAR(0.2),GAIN,0.07771585508,0.07916065455,0,0,0.1048217158,0.467221887,2.56E-06,0.005544949615,0.005113766319,0,0.8741780646,9.254815022,0,0.9382310608,0,0.6382823006,0,0.9583387335,0,0.9618601634
glass,MCAR(0.2),oracle,0,0,0,0,0,0.6305955746,2.33E-34,7.36E-17,0,0,0.6205299257,5.32E-06,0,0.5611093415,0,0.4344818638,0,0.7354191386,0,0.7511093587
